src_id,dst_type,dst_id,visible,visible_any_vertex,distance_m,eye_z,tgt_z
id8001,building,63,False,False,86.31342974233063,97.712,105.349
id8001,building,65,False,False,83.71433768374484,97.712,106.386
id8001,building,66,True,True,69.04625659491619,97.712,112.124
id8001,building,67,False,True,55.36023400795899,97.712,102.091
id8001,building,68,False,False,41.85574797375485,97.712,100.183
id8001,building,98,True,True,40.62837441844275,97.712,99.512
id8001,building,64,False,False,84.25778577125782,97.712,106.836
id8001,building,141,False,False,87.08273231259139,97.712,99.95
id8001,building,145,False,False,97.61330426712388,97.712,102.066
id8001,building,146,False,False,91.93429282363593,97.712,102.108
id8001,building,234,False,False,175.22285081752867,97.712,100.44
id8001,building,231,False,False,139.9773593917512,97.712,102.698
id8001,building,236,False,False,134.7964350525017,97.712,102.748
id8001,building,232,False,False,147.81002693502106,97.712,102.209
id8001,building,233,False,False,151.24720672393408,97.712,101.397
id8001,building,235,False,False,153.8702077299025,97.712,100.235
id8001,building,134,False,False,75.70066204214942,97.712,97.552
id8001,building,138,False,False,84.44443116196688,97.712,97.571
id8001,building,105,False,True,67.23560834787521,97.712,98.94
id8001,building,103,False,True,65.93873417222136,97.712,101.495
id8001,building,104,False,True,64.01512026946872,97.712,100.406
id8001,building,101,False,False,60.54793200615254,97.712,105.366
id8001,building,238,False,False,104.4487362142723,97.712,100.6
id8001,building,239,False,False,98.65968164229074,97.712,102.933
id8001,building,131,False,False,91.63291709069493,97.712,96.457
id8001,building,132,False,False,93.97345488416322,97.712,99.82
id8001,building,107,False,False,68.36946765082654,97.712,96.417
id8001,building,108,False,False,62.724411638090125,97.712,99.078
id8001,building,130,False,False,77.73138538110615,97.712,94.705
id8001,building,241,False,True,98.61965243823128,97.712,102.483
id8001,building,243,False,True,95.89325194016523,97.712,102.382
id8001,building,244,False,False,94.49373815244398,97.712,100.712
id8001,building,245,False,True,86.56236485536537,97.712,99.899
id8001,building,128,False,False,78.59608663026061,97.712,95.078
id8001,building,129,False,False,72.19025024905612,97.712,97.362
id8001,building,111,False,False,56.239528478660084,97.712,93.115
id8001,building,123,False,False,59.84761388607371,97.712,92.157
id8001,building,246,False,True,83.52569670618306,97.712,101.051
id8001,building,250,True,True,81.70793783804707,97.712,102.029
id8001,building,247,False,True,81.68913850495645,97.712,98.793
id8001,building,252,False,True,88.50023525171676,97.712,99.55
id8001,building,122,False,False,57.86325271132536,97.712,95.235
id8001,building,121,False,False,57.46017325297943,97.712,90.773
id8001,building,119,False,False,64.52662818544698,97.712,92.943
id8001,building,253,False,True,79.66169726507471,97.712,97.681
